,WAVELENGTH(nm),AM 1.5G,EQE(%),Energy(eV),PF,EQE*PF(mA/cm²),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
126,363.0,0.6019100000000001,17.409698856000002,3.4159779614325068,0.1762042983870968,0.0030676637720521223,0.07128960365163499,
127,363.5,0.58541,17.418851172,3.4112792297111416,0.17161010887096775,0.002989250946034104,0.07280383233115655,
128,364.0,0.60628,17.428003488,3.4065934065934065,0.17797251612903228,0.0031017056318649113,0.07432657147563129,
129,364.5,0.60058,17.437155804,3.401920438957476,0.17654145967741935,0.0030783809382607446,0.0758715931181627,
130,365.0,0.62359,17.44630812,3.3972602739726026,0.18355673387096774,0.003202387336613744,0.07744178518688133,
131,365.5,0.68628,17.444997660000002,3.3926128590971274,0.20228656451612903,0.0035288886446333107,0.0791246041821931,
132,366.0,0.73532,17.4436872,3.387978142076503,0.21703799999999998,0.0037859429825135996,0.08095331208897982,
133,366.5,0.73658,17.44237674,3.383356070941337,0.2177069112903226,0.0037973259656275665,0.08284912932601511,
134,367.0,0.72285,17.44106628,3.3787465940054497,0.2139402822580645,0.003731346642824811,0.0847312974781282,
135,367.5,0.70914,17.439755820000002,3.3741496598639458,0.21016850806451612,0.0036652874616988624,0.08658045600425912,
136,368.0,0.66759,17.43844536,3.369565217391304,0.19812348387096776,0.0034549655480167127,0.08836051925668802,
137,368.5,0.6631,17.4371349,3.364993215739484,0.19705834677419357,0.0034361329758725934,0.09008329388766034,
138,369.0,0.69315,17.43582444,3.3604336043360434,0.2062680241935484,0.0035964530574243824,0.09184144039598459,
139,369.5,0.74469,17.43451398,3.3558863328822732,0.22190560887096775,0.003868816440101299,0.09370775777036601,
140,370.0,0.75507,17.43320352,3.3513513513513513,0.22530314516129032,0.003927755583292877,0.09565690077621455,
141,370.5,0.68261,17.388515166999998,3.3468286099865048,0.2039572620967742,0.003546513945389552,0.09752546815838516,
142,371.0,0.69338,17.343826814,3.3423180592991915,0.20745482258064515,0.003598060514567806,0.0993116117733745,
143,371.5,0.72051,17.299138461,3.3378196500672948,0.21586247177419354,0.003734234787755478,0.10114468559895531,
144,372.0,0.6744399999999999,17.254450108,3.3333333333333335,0.20233199999999996,0.0034911273992518552,0.10295102614570714,
145,372.5,0.64253,17.209761755,3.3288590604026846,0.19301808467741938,0.0033217952517048035,0.10465425680844631,
146,373.0,0.6188600000000001,17.165073401999997,3.324396782841823,0.18615708064516132,0.003195399953576227,0.10628355560976657,
147,373.5,0.55786,17.120385049,3.319946452476573,0.1680328306451613,0.002876786761518569,0.10780160228854027,
148,374.0,0.5564,17.075696695999998,3.3155080213903743,0.1678174193548387,0.0028655993532086654,0.10923719881722208,
149,374.5,0.5522699999999999,17.031008343,3.3110814419225636,0.16679444758064513,0.0028406776283120432,0.11066376806260225,
150,375.0,0.5893,16.98631999,3.3066666666666666,0.17821572580645162,0.0030272293457984877,0.11213074480612989,
151,375.5,0.65162,17.041139039999997,3.3022636484687085,0.19732524999999998,0.0033626470213527593,0.11372821389791771,
152,376.0,0.6748,17.09595809,3.297872340425532,0.20461677419354837,0.0034981197961238965,0.11544340560228687,
153,376.5,0.6639,17.15077714,3.2934926958831343,0.20157931451612904,0.003457241899300096,0.11718224602614287,
154,377.0,0.71225,17.205596189999998,3.2891246684350133,0.21654697580645163,0.0037258198218915062,0.11897801145644077,
155,377.5,0.79455,17.26041524,3.2847682119205297,0.24188921370967742,0.004175108270706133,0.12095324347959018,
156,378.0,0.85595,17.31523429,3.2804232804232805,0.2609266935483871,0.004518006831305354,0.12312652225509305,
